"geo_code","zip_code","city_name","slug","geo_lat","geo_lon"
"se","274 04","Abbekås","abbekaas",55.5926837,13.0205963
"se","930 82","Abborrträsk","abborrtrask",65.4131000,19.2867610
"se","981 07","Abisko","abisko",68.2790640,18.7804720
"se","616 20","Åby","aaby",56.8945557,14.0013254
"se","930 72","Adak","adak",65.3644360,18.5184270
"se","178 92","Adelsö","adelso",59.3715170,17.4942140
"se","424 38","Agnesberg","agnesberg",57.7875850,12.0173420
"se","341 77","Agunnaryd","agunnaryd",56.7242500,14.1645320
"se","296 00","Åhus","aahus",55.9605677,14.2811330
"se","232 02","Åkarp","aakarp",56.2406712,13.2036692
"se","647 05","Åkers Styckebruk","aakers-styckebruk",59.2552342,17.0992386
"se","184 00","Åkersberga","aakersberga",58.3118829,15.3972947
"se","449 14","Alafors","alafors",57.5443021,12.1026812
"se","870 10","Älandsbro","alandsbro",62.7154460,17.7711500
"se","611 90","Ålberga","aalberga",58.5782670,15.9070070
"se","841 44","Alby","alby",62.4997820,15.4692120
"se","313 50","Åled","aaled",56.7413030,12.9494590
"se","511 94","Älekulla","alekulla",57.3262640,12.7518960
"se","822 20","Alfta","alfta",61.3457570,16.3777212
"se","545 02","Älgarås","algaraas",57.2844471,12.4074902
"se","360 76","Älghult","alghult",57.0144470,15.5648660
"se","441 00","Alingsås","alingsaas",57.7510873,12.8843717
"se","254 76","Allerum","allerum",56.0440240,12.6912260
"se","360 23","Älmeboda","almeboda",56.5435380,15.2814160
"se","523 95","Älmestad","almestad",57.9178120,13.2706000
"se","343 01","Älmhult","almhult",57.2257640,14.2828143
"se","740 10","Almunge","almunge",59.9207730,18.0849300
"se","230 53","Alnarp","alnarp",55.6537160,13.0776000
"se","865 01","Alnö","alno",62.4322493,17.4157241
"se","835 93","Alsen","alsen",63.3262420,14.4486540
"se","380 44","Alsterbro","alsterbro",56.9615460,15.9748910
"se","360 75","Alstermo","alstermo",56.9670530,15.6646980
"se","138 00","Älta","alta",59.2636833,18.1800286
"se","945 92","Altersbruk","altersbruk",65.5365220,21.3400670
"se","747 00","Alunda","alunda",57.9208031,14.0197481
"se","446 00","Älvängen","alvangen",58.0281847,13.5516220
"se","796 01","Älvdalen","alvdalen",54.3923838,10.3823707
"se","342 00","Alvesta","alvesta",56.9025628,14.5659447
"se","446 91","Alvhem","alvhem",58.0016540,12.1595610
"se","814 25","Älvkarleby","alvkarleby",60.5695086,17.4398137
"se","942 01","Älvsbyn","alvsbyn",65.6771363,20.9928659
"se","310 63","Älvsered","alvsered",57.2432300,12.8882350
